scope,anchor,guard_name,early_horizon_ms,anchor_target_cut_count,anchor_target_cut_damage_bps,guarded_target_cut_damage_bps,target_cut_damage_reduction_bps,target_cut_damage_reduction_rate,anchor_saved_stop_damage_bps,guarded_saved_stop_damage_bps,saved_stop_damage_retained_rate,anchor_timeout_improved_count,guarded_timeout_improved_count,timeout_improved_count_retained_rate,top5_target_cut_winner_count,top5_target_cut_winners_protected,top5_target_cut_winners_protected_rate,top10_target_cut_winner_count,top10_target_cut_winners_protected,top10_target_cut_winners_protected_rate
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,30000,26,253413,178414,74999,0.2959556139582421,254855,197512,0.7749975476251202,1083,928,0.8568790397045245,2,0,0.0,3,0,0.0
shadow-burnin-v3-r49-r48-target60-stop60-exit-replay-timestop-v2-maxwait66000-r1,M7_CLASS_RESTRICTED / 10000 / -6000 / 60000,G5_DELAYED_DECISION_8000,45000,26,253413,178414,74999,0.2959556139582421,254855,197512,0.7749975476251202,1083,928,0.8568790397045245,2,0,0.0,3,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G0_NONE,10000,97,577819,577819,0,0.0,408721,408721,1.0,1235,1235,1.0,5,0,0.0,10,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G0_NONE,20000,97,577819,577819,0,0.0,408721,408721,1.0,1235,1235,1.0,5,0,0.0,10,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G0_NONE,30000,97,577819,577819,0,0.0,408721,408721,1.0,1235,1235,1.0,5,0,0.0,10,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G0_NONE,45000,97,577819,577819,0,0.0,408721,408721,1.0,1235,1235,1.0,5,0,0.0,10,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,10000,97,577819,406869,170950,0.29585389196270806,408721,276908,0.6774988317213942,1235,1168,0.945748987854251,5,0,0.0,10,1,0.1
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,20000,97,577819,433828,143991,0.24919741303072415,408721,254083,0.6216538910405875,1235,1166,0.9441295546558705,5,0,0.0,10,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,30000,97,577819,433828,143991,0.24919741303072415,408721,278012,0.6801999407909063,1235,1169,0.9465587044534413,5,0,0.0,10,0,0.0
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,M0_ALL / 6000 / -6000 / 120000,G1_STEADY_EARLY_STRENGTH,45000,97,577819,433828,143991,0.24919741303072415,408721,280015,0.6851005942929285,1235,1172,0.9489878542510122,5,0,0.0,10,0,0.0
