scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,retained_count,sum_pnl_after_cost_bps,avg_pnl_after_cost_bps,median_pnl_after_cost_bps,nonloss_count,precision,wilson_lower95,max_consecutive_losses
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-500,30000,100,1409,-313982,-222.84031227821148,-202.0,38,0.0269694819020582,0.01971130879984496,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-500,30000,200,1409,-454882,-322.8403122782115,-302.0,35,0.0248403122782115,0.01791451509710688,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-500,40000,100,1409,-313218,-222.29808374733855,-202.0,42,0.029808374733853796,0.02212766325389633,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-500,40000,200,1409,-454118,-322.2980837473385,-302.0,41,0.029098651525904896,0.021521521811422688,197
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-700,20000,100,1409,-327369,-232.3413768630234,-202.0,40,0.028388928317955996,0.020916716605050376,164
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-700,20000,200,1409,-468269,-332.3413768630234,-302.0,37,0.0262597586941093,0.01911081089370025,164
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-700,30000,100,1409,-332208,-235.77572746628815,-202.0,42,0.029808374733853796,0.02212766325389633,164
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-700,30000,200,1409,-473108,-335.7757274662882,-302.0,38,0.0269694819020582,0.01971130879984496,164
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-700,40000,100,1409,-331304,-235.13413768630235,-202.0,46,0.032647267565649396,0.024564728594810476,164
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-700,40000,200,1409,-472204,-335.1341376863023,-302.0,45,0.0319375443577005,0.023953667657829227,164
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,20000,100,1409,-341760,-242.55500354861604,-202.0,40,0.028388928317955996,0.020916716605050376,164
