scope,classifier,target_bps,stop_bps,max_hold_ms,roundtrip_cost_bps,top_positive_fraction_removed,retained_count_before_tail_removal,removed_count,removed_sum_bps,sum_pnl_after_tail_removal_bps,avg_pnl_after_tail_removal_bps,median_pnl_after_tail_removal_bps,tail_dependency_flag
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,20000,100,0.05,1409,40,24229,-365989,-267.34039444850254,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,20000,100,0.1,1409,40,24229,-365989,-267.34039444850254,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,30000,100,0.05,1409,42,28305,-377053,-275.8251645940015,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,30000,100,0.1,1409,42,28305,-377053,-275.8251645940015,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,40000,100,0.05,1409,46,33783,-381733,-280.068231841526,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1000,-1000,40000,100,0.1,1409,46,33783,-381733,-280.068231841526,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-300,20000,100,0.05,1409,35,27638,-309905,-225.5494905385735,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-300,20000,100,0.1,1409,35,27638,-309905,-225.5494905385735,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-300,30000,100,0.05,1409,34,29327,-315183,-229.224,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-300,30000,100,0.1,1409,34,29327,-315183,-229.224,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-300,40000,100,0.05,1409,37,35523,-317562,-231.4591836734694,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-300,40000,100,0.1,1409,37,35523,-317562,-231.4591836734694,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-500,20000,100,0.05,1409,36,29038,-333167,-242.65622723962127,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-500,20000,100,0.1,1409,36,29038,-333167,-242.65622723962127,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-500,30000,100,0.05,1409,35,30727,-341828,-248.78311499272198,-202.0,True
shadow-burnin-v3-r50-tsv2-logging-only-target60-stop60-exit-replay-maxwait66000-r1,R1_DEV_SIGNER_CONCENTRATION,1500,-500,30000,100,0.1,1409,35,30727,-341828,-248.78311499272198,-202.0,True
