policy,policy_kind,target_bps,stop_bps,max_hold_ms,input_count,eligible_count,excluded_count,target_count,stop_count,timeout_count,target_rate,stop_rate,timeout_rate,positive_timeout_count,negative_timeout_count,negative_timeout_rate,avg_pnl_bps,median_pnl_bps,sum_pnl_bps,profit_factor,max_consecutive_losses
C4,candidate_ladder,3000,-100,15000,203,203,0,7,148,48,0.034482758620689655,0.729064039408867,0.23645320197044334,45,2,0.041666666666666664,270.29556650246303,-100.0,54870.0,4.676135602304703,10
C4,candidate_ladder,3000,-200,15000,203,203,0,8,131,64,0.03940886699507389,0.645320197044335,0.31527093596059114,48,15,0.234375,227.76354679802955,-200.0,46236.0,2.652997747667227,9
C4,candidate_ladder,3000,-300,15000,203,203,0,8,122,73,0.03940886699507389,0.6009852216748769,0.35960591133004927,50,22,0.3013698630136986,176.5369458128079,-300.0,35837.0,1.9027179525932643,9
C4,candidate_ladder,3000,-500,15000,203,203,0,9,113,81,0.04433497536945813,0.5566502463054187,0.39901477832512317,51,29,0.35802469135802467,81.55172413793103,-500.0,16555.0,1.2664617167506318,9
C4,candidate_ladder,3000,-700,15000,203,203,0,9,103,91,0.04433497536945813,0.5073891625615764,0.4482758620689655,52,38,0.4175824175824176,-19.261083743842363,-700.0,-3910.0,0.9526852053534693,9
C4,candidate_ladder,3000,-1000,15000,203,203,0,10,82,111,0.04926108374384237,0.4039408866995074,0.5467980295566502,54,56,0.5045045045045045,-102.04926108374384,-532.0,-20716.0,0.8027836484453837,7
C4,candidate_ladder,3000,-1500,15000,203,203,0,11,55,137,0.054187192118226604,0.270935960591133,0.6748768472906403,56,80,0.583941605839416,-215.89655172413794,-424.0,-43827.0,0.6695992400940836,7
C4,candidate_ladder,3000,-2000,15000,203,203,0,11,46,146,0.054187192118226604,0.22660098522167488,0.7192118226600985,57,88,0.6027397260273972,-313.1231527093596,-393.0,-63564.0,0.5841440356948924,7
C4,candidate_ladder,3000,-3000,15000,203,203,0,11,34,158,0.054187192118226604,0.16748768472906403,0.7783251231527094,57,100,0.6329113924050633,-460.42364532019707,-381.0,-93466.0,0.48856653515947757,7
C4,candidate_ladder,3000,-5000,15000,203,203,0,11,4,188,0.054187192118226604,0.019704433497536946,0.9261083743842364,57,130,0.6914893617021277,-638.576354679803,-381.0,-129631.0,0.40785590951863254,7
C4,candidate_ladder,3000,-6000,15000,203,203,0,11,0,192,0.054187192118226604,0.0,0.9458128078817734,57,134,0.6979166666666666,-647.4827586206897,-381.0,-131439.0,0.40451510016944087,7
C4,candidate_ladder,5000,-100,15000,203,203,0,1,148,54,0.0049261083743842365,0.729064039408867,0.2660098522167488,51,2,0.037037037037037035,296.70935960591135,-100.0,60232.0,5.0353745142704005,10
C4,candidate_ladder,5000,-200,15000,203,203,0,1,131,71,0.0049261083743842365,0.645320197044335,0.3497536945812808,55,15,0.2112676056338028,253.67487684729065,-200.0,51496.0,2.8410496585749527,9
C4,candidate_ladder,5000,-300,15000,203,203,0,1,122,80,0.0049261083743842365,0.6009852216748769,0.39408866995073893,57,22,0.275,202.44827586206895,-300.0,41097.0,2.0352149928209777,9
C4,candidate_ladder,5000,-500,15000,203,203,0,1,113,89,0.0049261083743842365,0.5566502463054187,0.43842364532019706,59,29,0.3258426966292135,112.51231527093596,-500.0,22840.0,1.3676222054113216,9
C4,candidate_ladder,5000,-700,15000,203,203,0,1,103,99,0.0049261083743842365,0.5073891625615764,0.4876847290640394,60,38,0.3838383838383838,11.699507389162562,-700.0,2375.0,1.0287398049323555,9
